text,label
"🤬До 15 «шахедів» атакують зараз Одесу, – монітори. У місті чутно вибухи. Перебувайте в укриттях! Ситуація в Одесі:",0
"❗️Увага! Сьогодні може бути масштабна атака «шахедами»: відбулися пуски по всіх напрямках, пишуть, очікується більше 100 штук, – монітори.",0
"Давно шукаєш для себе авто за вигідною ціною та досі не знайшов нічого цікавого? Експерти з American Express кожен день виставляють у канал найкращі та найвигідніші авто пропозиції з усього світу! 🔥 Чому обирають American Express: ✅ Тисячі позитивних відгуків та звітів з доставлених авто. ✅ 100% юридична гарантія угоди - будь впевнений у якості послуги. ✅ Страхування - повне КАСКО вашого авто на період доставки із-за кордону. ✅ Швидка доставка – від 14 днів до України. ✅ Надійність – кожен автомобіль проходить повну перевірку перед доставкою. ✅ Найнижчі ціни на ринку – American Express працюють для того, щоб ви економили. ✅ Досвідчена команда – на ринку з 2017 року, і маємо велику кількість кейсів та відгуків у нашому ТГ каналі. ✅ Кредит та розтермінування на будь-яке авто. Переконайтеся самі – дивіться відгуки та відеозвіти клієнтів (посилання в Telegram). Хочете стати одним із задоволених клієнтів? Звертайся за безкоштовною консультацією від менеджера American Express прямо зараз! 😎 #реклама",1
"🤯 10-річний малий зґвалтував свою 7-річну подругу, бо хотів... повторити порно, – начальник слідчого управління ГУНП Харківщини Болвінов. Вперше порно йому показали старшокласники у 5 років. Після чого він регулярно дивився його сам. Коли вперше запропонував подружці, вона відмовилася, і він її побив. Що за пздц...",0
"😳 Український нардеп подарував годинник Richard Mille за $200 000 (!) OnlyFans-моделі. Є думки, хто ця щедра душа? 👇",0
🤬В Харкові вже більше 15 вибухів. Над містом величезні стовпи диму. Було влучання в багатоповерхівку. Палають автівки.,0
"❗️Нападницю на Стерненка завербували в інтернеті ще у 2024 році: СБУ поділилися деталями справи. ▪️Підозрювану – 45-річну жінку з Одещини – завербували, коли вона шукала підробіток; ▪️Спершу вона стежила за авто, згодом – переїхала до будинку, де живе Стерненко, і отримала з пістолет Макарова з набоями. Також вона самостійно зробила вибуховий пристрій; ▪️У день нападу чекала волонтера під під’їздом і відкрила вогонь, коли він виходив. Одну кулю Стерненко отримав у ногу, нападницю одразу затримали.",0
"❗️Увага! Вибухівка, яку розкидають «шахеди», може спрацювати (!) від світла, руху, тепла, вібрації чи тиску, – речник КМВА Ієвлєв. В жодному разі не підходьте до підозрілих предметів!",0
"❗️Увага! «Шахеди» стали ще більш небезпечними для цивільних. По Харкову зранку вдарив БПЛА, до якого прикріпили мішок з цвяхами(!). А у Києві сьогодні зафіксували близько 10 вибухів – це касетні боєприпаси, які росіяни розкинули із «шахедів». Максимальний репост, попередьте близьких!",0
"❗️Увага, небезпека! У Києві ВИБУХНУЛИ відтерміновані касетні боєприпаси з «Шахедів» зранку, – Шевченківська РДА. Будьте обережні! Не підходьте до підозрілих предметів, відійдіть на безпечну відстань та негайно телефонуйте 102. Максимальний репост!",0
